form,stap,gemiddeldMs
FormA,1,"59150.04"
FormA,2,"30592.12"
FormA,3,"69695.56"
FormA,4,"41556.846153846156"
FormA,5,"34653.692307692305"
FormA,6,"24506.30769230769"
FormA,7,"51340.846153846156"
FormA,8,"18142.166666666668"
FormA,9,"29832.583333333332"
FormB,1,"90841.3"
FormB,2,"87417.93548387097"
FormB,3,"50922.03333333333"
FormB,4,28421
FormB,5,"17833.2"
FormB,6,"47123.4"
FormB,7,"39886.58823529412"
FormB,8,"16739.066666666666"
FormB,9,"16362.533333333333"
FormB,10,"68183.42857142857"
