form,stap,sessies
FormA,1,26
FormA,2,12
FormA,3,12
FormA,4,12
FormA,5,12
FormA,6,12
FormA,7,12
FormA,8,12
FormA,9,12
FormB,1,26
FormB,2,15
FormB,3,15
FormB,4,15
FormB,5,15
FormB,6,15
FormB,7,15
FormB,8,15
FormB,9,15
FormB,10,15
