form,stap,sessies
FormB,1,18
FormB,2,12
FormB,3,12
FormB,4,12
FormB,5,12
FormB,6,12
FormB,7,12
FormB,8,12
FormB,9,10
FormB,10,1
FormC,1,17
FormC,2,14
FormC,3,13
FormC,4,13
FormC,5,13
FormC,6,13
FormC,7,13
FormC,8,13
FormC,9,13
FormC,10,13
